"sound_id","label","IPA","comment"
"a","open front unrounded vowel","a",
"a:","long open front unrounded vowel","aː",
"k","voiceless velar stop consonant","k",
"kw","voiceless labialized velar stop consonant","kʷ",
"e","close-mid front unrounded vowel","e",
"e:","long close-mid front unrounded vowel","eː",
"f","voiceless labiodental fricative consonant","f",
"ʔ","voiceless glottal stop consonant","ʔ",
"i","close front unrounded vowel","i",
"i:","long close front unrounded vowel","iː",
"x","voiceless velar fricative consonant","x",
"xw","voiceless labialized velar fricative consonant","xʷ",
"l","voiced alveolar lateral approximant consonant","l",
"ɬ","voiceless alveolar lateral fricative consonant","ɬ",
"m","voiced bilabial nasal consonant","m",
"n","voiced alveolar nasal consonant","n",
"o","close-mid back rounded vowel","o",
"o:","long close-mid back rounded vowel","oː",
"p","voiceless bilabial stop consonant","p",
"k","voiceless velar stop consonant","k",
"r","voiced alveolar trill consonant","r",
"s","voiceless alveolar fricative consonant","s",
"t","voiceless alveolar stop consonant","t",
"χ","voiceless uvular fricative consonant","χ",
"χw","voiceless labialized uvular fricative consonant","χʷ",
"j","voiced palatal approximant consonant","j",
"ʃ","voiceless postalveolar fricative consonant","ʃ",
